Language,Key,Original Text (FR)
"ar","dashboardadmin.tous","Tous"
"ar","dashboardadmin.unesco","UNESCO"
"ar","dashboardadmin.national","National"
"ar","dashboardadmin.local","Local"
"ar","dashboardadmin.rinitialiser_2","Réinitialiser"
"ar","dashboardadmin.gestion_patrimoine","Gestion du patrimoine"
"ar","dashboardadmin.liste_des_sites","Liste des sites patrimoniaux ("
"ar","dashboardadmin.rsultats_4","résultats)"
"ar","dashboardadmin.ajouter_site","Ajouter un site"
"ar","dashboardadmin.placeholder_rechercher_par_nom_1","Rechercher par nom, wilaya, type..."
"ar","dashboardadmin.filtres_2","Filtres"
"ar","dashboardadmin.exporter_3","Exporter"
"ar","dashboardadmin.unesco_1","UNESCO"
"ar","dashboardadmin.visites","visites"
"ar","dashboardadmin.voir_dtails_2","Voir détails"
"ar","dashboardadmin.modifier_3","Modifier"
"ar","dashboardadmin.envoyer_notification_3","Envoyer notification"
"ar","dashboardadmin.mettre_avant_2","Mettre en avant"
"ar","dashboardadmin.supprimer_4","Supprimer"
"ar","dashboardadmin.filtres_avancs_3","Filtres avancés"
"ar","dashboardadmin.type_service","Type de service"
"ar","dashboardadmin.placeholder_tous_les_types_3","Tous les types"
"ar","dashboardadmin.tous_les_types_3","Tous les types"
"ar","dashboardadmin.statut_2","Statut"
"ar","dashboardadmin.placeholder_tous_les_statuts_2","Tous les statuts"
"ar","dashboardadmin.tous_1","Tous"
"ar","dashboardadmin.actif","Actif"
"ar","dashboardadmin.inactif","Inactif"
"ar","dashboardadmin.suspendu_1","Suspendu"
"ar","dashboardadmin.wilaya_3","Wilaya"
"ar","dashboardadmin.placeholder_toutes_les_wilayas_3","Toutes les wilayas"
"ar","dashboardadmin.toutes_les_wilayas_3","Toutes les wilayas"
"ar","dashboardadmin.prix_maximum_1","Prix maximum"
"ar","dashboardadmin.placeholder_prix_max_1","Prix max"
"ar","dashboardadmin.rinitialiser_3","Réinitialiser"
"ar","dashboardadmin.gestion_des_services","Gestion des services"
"ar","dashboardadmin.liste_des_services","Liste des services proposés ("
